ema_fast,ema_slow,ema_trend,ema_htf,ema_d1,ema_w1,ema_14,ema_21,ema_55,ema_20,ema_50,volume_ma,sma_20,sma_50,rsi,macd,macd_signal,macd_histogram,adx,supertrend,supertrend_trend,bb_upper,bb_middle,bb_lower,bb_width,bb_percent,ichimoku_tenkan,ichimoku_kijun,ichimoku_senkou_a,ichimoku_senkou_b,ichimoku_chikou,ichimoku_cloud_top,ichimoku_cloud_bottom,vwap,atr,pivot,r1,s1,r2,s2,stoch_k,stoch_d,williams_r,cci,mfi,obv,rsi_divergence_bullish,rsi_divergence_bearish,macd_divergence_bullish,macd_divergence_bearish,obv_divergence_bullish,obv_divergence_bearish,elder_ema,elder_impulse,elder_screen1_up,elder_screen1_down,kabbaj_squeeze,symbol,timeframe,direction,score,market_regime,pnl_pct,winner,result
117619.90161993614,117567.02178379818,117914.29835853871,117559.74656867846,117559.74656867846,117569.18220442238,117588.84370315073,117567.02178379818,117566.60911546835,117569.18220442238,117559.74656867846,86.721659,117525.82250000001,117562.7124,65.71859296482461,40.20712986701983,13.71400437071128,26.49312549630855,32.96762574289595,117362.38999999998,1.0,117834.466517386,117525.82250000001,117217.17848261402,0.005252360899426817,0.6582689028406064,117563.81,117471.985,117546.0975,117380.745,117659.42,117546.0975,117380.745,117546.16460306048,125.64357142857209,117787.62,118771.24999999999,116358.41999999998,120200.45,115374.79,68.85567046697997,79.98506546294654,-31.144329533020027,61.275145251304195,71.70506173396677,-2620.7400900000002,0,0,0,0,0,0,117593.72196297116,0,1,0,1,BTC/USDT,15m,LONG,6.0,TRENDING,-1.3513145217461375,0,SL
117519.1696730328,117586.05700952037,117837.99986522832,117613.66981167122,117613.66981167122,117582.8399929022,117555.52502048053,117586.05700952037,117615.3918519908,117582.8399929022,117613.66981167122,43.5576265,117617.374,117623.1198,37.95237962160792,-55.358676643285435,-29.835756352766982,-25.522920290518453,28.07679964996596,117657.264,-1.0,117827.13690509382,117617.374,117407.61109490617,0.003566869382644552,0.2191495799810488,117465.17,117518.495,117585.995,117513.98999999999,118181.94,117585.995,117513.98999999999,117537.16035753141,96.4221428571431,117787.62,118771.24999999999,116358.41999999998,120200.45,115374.79,50.75716407636989,41.07584924344126,-49.24283592363011,-94.40741697837545,37.24965970271055,-2690.8841200000006,0,0,0,0,0,0,117549.35843505982,0,0,1,0,BTC/USDT,15m,SHORT,7.0,TRENDING,-0.5035951271433309,0,SL
117634.20111233529,117551.9973102076,117762.95025855697,117544.62616586286,117544.62616586286,117554.86615850082,117584.59884790877,117551.9973102076,117547.5305439053,117554.86615850082,117544.62616586286,49.668737500000006,117475.673,117563.39799999999,86.07632093933444,58.031294521759264,12.69360932741563,45.337685194343635,34.382088087990596,117444.923,1.0,117799.19159258985,117475.673,117152.15440741014,0.005507839782111399,0.9570015553555433,117576.39499999999,117471.805,117609.9375,117484.48999999999,118393.34,117609.9375,117484.48999999999,117522.30349846823,111.74785714285723,117474.54333333333,117805.10666666667,117050.09666666666,118229.55333333334,116719.53333333333,99.99499324087537,91.87529215913564,-0.005006759124624319,142.05398991317577,69.05479424102839,-2510.0800900000013,0,0,0,0,0,0,117592.35069533074,1,1,0,0,BTC/USDT,15m,LONG,8.0,TRENDING,1.5191740410091101,1,TP
117982.7754331876,117858.63873389896,117790.4618618497,117716.13716872607,117716.13716872607,117867.88882125833,117930.8050261371,117858.63873389896,117705.4516152945,117867.88882125833,117716.13716872607,66.250373,117849.978,117630.9232,64.22200569629747,134.7046762163809,132.76077444349977,1.9439017728811336,68.84115243203821,117781.192,1.0,118296.8437191264,117849.978,117403.11228087361,0.007583636869688545,0.6743722927601946,118037.28,117701.51500000001,117455.2425,117522.17,118340.01,117455.2425,117522.17,117983.07006309506,125.20285714285794,117474.54333333333,117805.10666666667,117050.09666666666,118229.55333333334,116719.53333333333,58.78139483759944,59.51000142419276,-41.21860516240056,38.14589095365891,63.055411225218585,-2431.880120000001,0,0,0,0,0,0,117941.98115520712,0,1,0,0,BTC/USDT,15m,LONG,7.0,TRENDING,1.5586612871603542,1,TP
117913.53793039417,118021.9397003105,117919.2175427326,118041.59719993701,118041.59719993701,118016.19428561514,117969.00723340324,118021.9397003105,118032.35748545629,118016.19428561514,118041.59719993701,68.970413,118087.597,118142.33320000001,33.7760229720037,-94.61879858226166,-62.82668978298787,-31.79210879927379,33.5403570387265,118269.485,-1.0,118508.48669071651,118087.597,117666.70730928348,0.007128431798244114,0.16605620641190388,117919.82,118110.01999999999,118227.77249999999,117828.10500000001,117290.19,118227.77249999999,117828.10500000001,117998.12483232436,154.64071428571333,117474.54333333333,117805.10666666667,117050.09666666666,118229.55333333334,116719.53333333333,24.062178636900512,33.99605546199411,-75.93782136309949,-98.49986012485634,27.780155426851692,-2764.119480000002,0,0,0,0,0,0,117958.94425141223,0,0,1,0,BTC/USDT,15m,SHORT,7.0,TRENDING,1.6396947147473333,1,TP
117528.85487352709,117653.78088719193,117862.26006938706,117794.385142525,117794.385142525,117646.13012567829,117593.95885724857,117653.78088719193,117805.41376272344,117646.13012567829,117794.385142525,60.940633000000005,117646.5895,117893.65840000001,36.145805544103574,-116.9145547880762,-76.94072628133792,-39.973828506738286,36.68111153444424,117925.736,-1.0,118012.91286313346,117646.5895,117280.26613686654,0.006227522016411003,-0.18812086634005923,117541.82999999999,117541.82999999999,118045.27249999999,118110.01999999999,115245.56,118045.27249999999,118110.01999999999,117551.52710536204,179.10500000000215,117717.40666666668,118262.60333333335,116859.81333333335,119120.19666666667,116314.61666666668,5.969704987433151,12.718703123648725,-94.03029501256684,-232.77742278654972,39.07607043489818,-3094.2074700000016,0,0,0,0,0,0,117583.49784134398,-1,0,1,0,BTC/USDT,15m,SHORT,8.0,TRENDING,-0.2885061558186687,0,SL
115562.18085959673,116010.65090368608,117525.45973867114,116746.03717953504,116746.03717953504,115973.46882491514,115738.71600080622,116010.65090368608,116822.65584030711,115973.46882491514,116746.03717953504,321.29468499999996,116008.0085,117033.1936,32.197694675798786,-521.9901921230194,-549.2008835979944,27.21069147497508,90.57138709467388,116281.808,-1.0,117504.49067829226,116008.0085,114511.52632170773,0.0257996356913974,0.39095142436896796,115343.72,116497.685,117767.86499999999,117948.265,114977.79,117767.86499999999,117948.265,115685.53524022453,301.43142857142914,117717.40666666668,118262.60333333335,116859.81333333335,119120.19666666667,116314.61666666668,46.09283077047927,29.15072721892757,-53.90716922952073,-42.844580917659556,31.037218127877594,-5545.083710000002,0,0,0,0,0,0,115699.63971804759,0,0,1,0,BTC/USDT,15m,SHORT,7.0,TRENDING,-0.14046493237625637,0,SL
115613.99063598966,115434.97168573774,116738.81325529567,115575.39586336329,115575.39586336329,115441.47712853171,115508.65947919866,115434.97168573774,115629.66136985082,115441.47712853171,115575.39586336329,158.5082965,115346.6425,115283.2224,64.76748360433254,124.85873511747923,29.72601635494068,95.13271876253854,30.775738425561823,114726.75200000001,1.0,116002.5915585745,115346.6425,114690.69344142551,0.011373526690635896,1.10881061536678,115505.985,115413.555,115122.42749999999,116322.69,116926.19,115122.42749999999,116322.69,115466.11207566164,368.0928571428573,117717.40666666668,118262.60333333335,116859.81333333335,119120.19666666667,116314.61666666668,96.94339816589171,91.01319313807595,-3.056601834108286,194.02648840823375,76.87426139942822,-5664.521120000002,0,0,0,0,0,0,115525.32945044794,1,1,0,0,BTC/USDT,15m,LONG,6.0,TRENDING,-0.13064213976893732,0,SL
115956.0976472969,116118.67618852593,116578.0475072223,116124.88710238405,116124.88710238405,116111.77500193562,116046.54502552334,116118.67618852593,116121.38000241356,116111.77500193562,116124.88710238405,101.868853,116230.48799999998,116218.867,37.74435748088803,-125.67452241481806,-56.60683135825835,-69.06769105655971,38.879527292101166,116602.67400000001,-1.0,116945.9738837125,116230.48799999998,115515.00211628746,0.012311500984363436,0.16218201434550433,116180.66,116248.41,116120.6225,115720.07,115430.0,116120.6225,115720.07,116046.5349606399,303.8828571428582,116136.98,117633.81999999999,114730.20999999999,119040.59,113233.37,19.047540264875103,24.832557126351503,-80.95245973512489,-95.08029632527557,21.95701566514377,-5277.43111,0,0,0,0,0,0,116031.1980601803,0,0,1,0,BTC/USDT,15m,SHORT,7.0,TRENDING,1.8134037201104027,1,TP
115235.92747230554,115491.97382628408,116429.39673217192,115778.18827515563,115778.18827515563,115472.63240723372,115342.3604134252,115491.97382628408,115801.4215174268,115472.63240723372,115778.18827515563,159.601451,115548.354,116068.57800000001,33.34770171244983,-279.13850756938336,-276.4647593948694,-2.673748174513946,49.351058884638924,115702.927,-1.0,116601.53800928047,115548.354,114495.16999071954,0.018229320848317115,0.2879696254099373,114924.62,115545.845,116572.4475,115902.5,115583.33,116572.4475,115902.5,115121.73302357149,341.5871428571419,116136.98,117633.81999999999,114730.20999999999,119040.59,113233.37,43.66409495548992,51.305044510385784,-56.33590504451007,-52.9902237642863,28.105647149214064,-6558.339009999999,0,0,0,0,0,0,115319.5011004017,0,0,1,0,BTC/USDT,15m,SHORT,7.0,TRENDING,-1.135984242503821,0,SL
